TRP,x,y,version,entry_id,timestamp,reader_initials,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescode,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciescode2,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstree2,species3,speciescode3,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstree3,species4,speciescode4,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstree4,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed
38N6E3,557950.2888,591422.6634,2.1,13108,NA,Ian Shuman,John P. Thompson,434,NA,1839,Illinois,Kane,3,3,38,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300400,Burr oak, BR,Bur oak,bur oak,Oak,12,S,2,E,200,Burr oak, BR,Bur oak,bur oak,Oak,12,S,6,W,302,Black oak,BO,Black oak,black oak,Oak,20,N,5,W,620,Black oak,BO,Black oak,black oak,Oak,20,N,4,E,660,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Open Savanna; timber,NA,"Four trees given, Marlin did not include the two Black oaks 20 in dia in his entry; as there are two Burr oaks 12 in dia and two Black oaks 20 in dia that cannot be distinguished for Marlin's TreeDist data, the order given in the notes was used",NA,NA,NA
39N8E3,580657.6118,601673.515,2.1,14010,NA,Ian Shuman,John P. Thompson,434,NA,1839,Illinois,Kane,3,3,39,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500500,Burr oak, BR,Bur oak,bur oak,Oak,10,N,38,E,48,Burr oak, BR,Bur oak,bur oak,Oak,12,N,71,W,274,Black oak,BO,Black oak,black oak,Oak,18,S,38.5,W,127,Black oak,BO,Black oak,black oak,Oak,18,S,42.5,E,10,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,"Four trees given, there are two Black oaks 18 in dia given so they cannot be distinguished for Marlin's TreeDist data, so used the order given in the notes instead",NA,NA,NA
40N6E3,562274.288,607341.1007,2.1,14570,NA,Annie Pappas,John P. Thompson,435,NA,1840,Illinois,Kane,3,3,40,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500200,Black oak,BO,Black oak,black oak,Oak,18,S,13,W,175,Burr oak, BR,Bur oak,bur oak,Oak,10,S,84,E,75,Black oak,BO,Black oak,black oak,Oak,18,N,53,E,32,Black oak,BO,Black oak,black oak,Oak,10,N,33,W,213,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,,NA,NA,NA
40N8E3,579479.28,608179.4731,2.1,14655,NA,Ian Shuman,James Thompson,433,NA,1839,Illinois,Kane,3,3,40,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400300,Black oak,BO,Black oak,black oak,Oak,20,S,29,E,100,Black oak,BO,Black oak,black oak,Oak,24,S,32,W,57,Black oak,BO,Black oak,black oak,Oak,12,N,11,E,24,Black oak,BO,Black oak,black oak,Oak,12,N,58.5,W,70,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Woodland; timber,NA,"Marlin had two extra entries at this location with an Ash 12 in dia, a Walnut 12 in dia, and white oaks 24 and 28 in dia that were not in the notes, and Marlin also did not include the two Black oaks 12 in dia that were in the notes",NA,NA,NA
41N6E3,559695.6365,618760.0317,2.1,15577,NA,Annie Pappas,James Thompson,435,NA,1840,Illinois,Kane,3,3,41,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300300,Burr oak, BR,Bur oak,bur oak,Oak,10,N,0,W,220,Burr oak, BR,Bur oak,bur oak,Oak,30,S,80,E,430,Black oak,BO,Black oak,black oak,Oak,30,N,45,E,75,Black oak,BO,Black oak,black oak,Oak,30,S,56,W,565,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Open Savanna; timber,NA,,NA,NA,NA
41N8E3,578532.1463,619558.8793,2.1,15786,NA,Annie Pappas,James Thompson,436,NA,1840,Illinois,Kane,3,3,41,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300400,Black oak,BO,Black oak,black oak,Oak,24,S,33,E,115,Black oak,BO,Black oak,black oak,Oak,30,N,74,E,65,Black oak,BO,Black oak,black oak,Oak,20,S,89,W,34,Black oak,BO,Black oak,black oak,Oak,18,N,66,W,116,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,Marlin's notes list different trees,NA,NA,NA
42N6E3,566594.354,627748.8863,2.1,16250,NA,Ian Shuman,James Thompson,381,NA,1837,Illinois,Kane,3,3,42,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600300,Burr oak, BR,Bur oak,bur oak,Oak,12,N,50,E,18,Black oak,BO,Black oak,black oak,Oak,10,S,40,E,62,Black oak,BO,Black oak,black oak,Oak,24,N,54,W,14,Black oak,BO,Black oak,black oak,Oak,12,S,39,W,75,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,,NA,NA,NA
42N6E3,566908.4709,632559.6805,2.1,16235,NA,Ian Shuman,James Thompson,381,NA,1837,Illinois,Kane,3,3,42,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600600,Black oak,BO,Black oak,black oak,Oak,12,N,82,E,325,Burr oak, BR,Bur oak,bur oak,Oak,8,N,20,W,152,Black oak,BO,Black oak,black oak,Oak,18,S,33,E,55,Black oak,BO,Black oak,black oak,Oak,20,S,51.5,W,700,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Open Savanna; timber,NA,Four trees given,NA,NA,NA
42N8E3,581190.8602,628476.6662,2.1,16343,NA,Annie Pappas,James Thompson,381,NA,1837,Illinois,Kane,3,3,42,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300400,Black oak,BO,Black oak,black oak,Oak,24,N,65,W,82,Black oak,BO,Black oak,black oak,Oak,30,S,68,E,82,Black oak,BO,Black oak,black oak,Oak,30,N,56,E,167,Black oak,BO,Black oak,black oak,Oak,24,S,31.5,W,114,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,Marlin's notes only list two trees,NA,NA,NA
42N9E3,589370.4888,631169.6542,2.1,16501,NA,Ian Shuman,James Galloway,384,NA,1837,Illinois,Cook,3,3,42,N,9,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,200600,Burr oak, BR,Bur oak,bur oak,Oak,9,S,71,W,38,Burr oak, BR,Bur oak,bur oak,Oak,9,S,36,E,36,Black oak,BO,Black oak,black oak,Oak,20,N,26,E,36,Black oak,BO,Black oak,black oak,Oak,9,N,46,W,120,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, two of which are Burr oaks 9 in dia that could not be distinguished for Marlin's TreeDist data, used the order given in the notes instead",NA,NA,NA
